,Mean,Variance,Up,Class
0,10000.0,0.0,0.719862,droneA_cap_1Msps_20dbSNR.u8
1,10000.0,0.0,0.658762,droneA_cap_1Msps_20dbSNR.u8
2,10000.0,0.0,0.600062,droneA_cap_1Msps_20dbSNR.u8
3,10000.0,0.0,0.737454,droneA_cap_1Msps_20dbSNR.u8
4,10000.0,0.0,0.760314,droneA_cap_1Msps_20dbSNR.u8
5,10000.0,0.0,0.758368,droneA_cap_1Msps_20dbSNR.u8
6,10000.0,0.0,0.725178,droneA_cap_1Msps_20dbSNR.u8
7,10000.0,0.0,0.693008,droneA_cap_1Msps_20dbSNR.u8
8,10000.0,0.0,0.70219,droneA_cap_1Msps_20dbSNR.u8
9,10000.0,0.0,0.71986,droneA_cap_1Msps_20dbSNR.u8
10,3769.230769230769,4023668.6390532535,0.686,droneB_cap_1Msps_20dbSNR.u8
11,3541.6666666666665,3789930.555555556,0.691782,droneB_cap_1Msps_20dbSNR.u8
12,3646.4646464646466,4107335.9861238655,0.724218,droneB_cap_1Msps_20dbSNR.u8
13,3645.1612903225805,4142906.694415539,0.678,droneB_cap_1Msps_20dbSNR.u8
14,3795.6989247311826,3969013.7588160485,0.707024,droneB_cap_1Msps_20dbSNR.u8
15,3484.2105263157896,3765540.1662049857,0.674976,droneB_cap_1Msps_20dbSNR.u8
16,3860.2150537634407,3819169.8462249977,0.719452,droneB_cap_1Msps_20dbSNR.u8
17,3577.777777777778,4110617.2839506185,0.65673,droneB_cap_1Msps_20dbSNR.u8
18,3701.0309278350514,3962163.885641407,0.723818,droneB_cap_1Msps_20dbSNR.u8
19,3651.6853932584268,4114631.9909102386,0.656,droneB_cap_1Msps_20dbSNR.u8
20,6700.657142857143,17297401.996734694,0.469046,random-signal_cap_1Msps_20dbSNR.u8
21,8131.088235294118,20089697.78633218,0.5566,random-signal_cap_1Msps_20dbSNR.u8
22,7689.90625,19949467.397460938,0.512096,random-signal_cap_1Msps_20dbSNR.u8
23,6665.6,17743204.697142854,0.485624,random-signal_cap_1Msps_20dbSNR.u8
24,8097.03125,13671224.967773438,0.529824,random-signal_cap_1Msps_20dbSNR.u8
25,7107.857142857143,20711336.236734696,0.509114,random-signal_cap_1Msps_20dbSNR.u8
26,8038.709677419355,18112990.65764828,0.518498,random-signal_cap_1Msps_20dbSNR.u8
27,8610.40625,17136930.928710938,0.56343,random-signal_cap_1Msps_20dbSNR.u8
28,6731.771428571428,22133779.03346939,0.479852,random-signal_cap_1Msps_20dbSNR.u8
29,5924.51282051282,19118498.09598948,0.475452,random-signal_cap_1Msps_20dbSNR.u8
30,2460.122699386503,248409.80089578082,0.802,wifi_cap_1Msps_20dbSNR.u8
31,2475.3086419753085,249390.33683889644,0.802,wifi_cap_1Msps_20dbSNR.u8
32,2478.2608695652175,249527.41020793954,0.798,wifi_cap_1Msps_20dbSNR.u8
33,2509.433962264151,249911.00035599864,0.798514,wifi_cap_1Msps_20dbSNR.u8
34,2551.2820512820513,247370.15121630504,0.80727,wifi_cap_1Msps_20dbSNR.u8
35,2472.049689440994,249218.78013965505,0.796216,wifi_cap_1Msps_20dbSNR.u8
36,2481.25,249648.4375,0.79677,wifi_cap_1Msps_20dbSNR.u8
37,2487.3417721518986,249839.76926774555,0.794634,wifi_cap_1Msps_20dbSNR.u8
38,2522.292993630573,249503.02243498727,0.794428,wifi_cap_1Msps_20dbSNR.u8
39,2441.717791411043,246603.18416199335,0.800168,wifi_cap_1Msps_20dbSNR.u8
